_loc,complexity,_too,volume,_pl,difficulty,_i,effort,bugs,time,total_lines,comments,blanks,unique_operators,unique_operands,total_operators,total_operands,result
46,4,129,691.12,0.05,20.9,33.07,14441.62,0.23,802.31,35,1,4,17,24,70,59,0.2191
91,2,267,1564.08,0.05,20.23,77.31,31645.36,0.52,1758.08,49,20,20,15,43,151,116,0.3388
55,4,128,676.53,0.06,16,42.28,10824.5,0.23,601.36,22,12,19,13,26,64,64,0.3959
7,2,11,33,0.4,2.5,13.2,82.5,0.01,4.58,5,0,0,4,4,6,5,0.491
27,3,84,403.82,0.05,19,21.25,7672.54,0.13,426.25,19,3,2,14,14,46,38,0.3372
32,4,64,328.27,0.07,13.66,24.04,4482.99,0.11,249.06,26,0,3,19,16,41,23,0.2098
21,4,72,342.35,0.07,13.46,25.43,4609.52,0.11,256.07,17,0,2,13,14,43,29,0.2487
4,1,8,24,0.4,2.5,9.6,60,0.01,3.33,2,0,0,5,3,5,3,0.8663
25,5,100,470.04,0.03,35.89,13.1,16869.36,0.16,937.19,21,0,2,17,9,62,38,0.2177
7,1,15,55.51,0.25,4,13.88,222.03,0.02,12.33,4,0,1,8,5,10,5,0.4452
21,2,40,180.94,0.17,5.79,31.27,1046.88,0.06,58.16,11,4,4,9,14,22,18,0.4298
32,5,105,551.03,0.07,14.98,36.79,8252.37,0.18,458.46,24,0,6,17,21,68,37,0.2003
114,1,330,2022.66,0.07,15.21,133.01,30758.43,0.67,1708.8,63,28,21,12,58,183,147,0.3348
49,2,185,1079.08,0.08,12.86,83.93,13873.95,0.36,770.77,33,1,12,15,42,113,72,0.2138
20,5,93,395.06,0.03,30.86,12.8,12190.34,0.13,677.24,17,0,1,12,7,57,36,0.243
8,2,15,49.83,0.17,5.83,8.54,290.67,0.02,16.14,4,1,1,7,3,10,5,0.5073
5,1,15,55.51,0.25,4,13.88,222.03,0.02,12.33,3,0,0,8,5,10,5,0.4724
411,5,1584,10430.58,0.02,56.31,185.24,587317.09,3.48,32628.73,322,1,86,13,83,865,719,0
5,1,10,31.7,0.19,5.25,6.04,166.42,0.01,9.25,3,0,0,7,2,7,3,0.4895
9,2,32,142.7,0.21,4.85,29.45,691.55,0.05,38.42,7,0,0,9,13,18,14,0.3621
13,5,50,229.25,0.05,21.86,10.49,5010.71,0.08,278.37,12,0,1,17,7,32,18,0.2926
45,4,88,418.43,0.07,14.4,29.06,6025.39,0.14,334.74,25,10,8,12,15,52,36,0.3843
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
4,1,6,15.51,0.5,2,7.75,31.02,0.01,1.72,2,0,0,4,2,4,2,0.9666
34,5,56,242.03,0.06,17.25,14.03,4174.97,0.08,231.94,19,2,10,12,8,33,23,0.3319
58,10,192,968.52,0.03,30,32.28,29055.71,0.32,1614.21,47,5,2,15,18,120,72,0.2434
32,4,82,360.17,0.06,16.36,22.01,5893.69,0.12,327.43,22,1,7,10,11,46,36,0.2829
203,17,683,4254.28,0.01,87,48.9,370122.64,1.42,20562.37,170,0,31,29,46,407,276,0
17,2,78,337.11,0.08,13.09,25.75,4413.08,0.11,245.17,13,0,2,9,11,46,32,0.2773
13,1,193,896.26,0.06,18,49.79,16132.76,0.3,896.26,11,0,0,10,15,139,54,0.2648
15,6,197,1048.42,0.03,31.12,33.69,32624.36,0.35,1812.46,10,0,2,23,17,151,46,0.2623
6,3,15,58.6,0.22,4.5,13.02,263.72,0.02,14.65,3,0,1,9,6,9,6,0.4681
30,3,100,535.76,0.09,10.91,49.1,5845.47,0.18,324.75,21,0,7,13,28,53,47,0.2165
13,1,37,157.17,0.25,3.92,40.06,616.6,0.05,34.26,9,0,2,6,13,20,17,0.3367
7,1,21,54.28,0.1,10,5.43,542.84,0.02,30.16,5,0,0,5,1,17,4,0.4247
7,1,23,89.86,0.3,3.33,26.96,299.53,0.03,16.64,4,0,1,6,9,13,10,0.4305
33,6,71,333.73,0.05,21.72,15.36,7249.38,0.11,402.74,23,0,8,17,9,48,23,0.2182
12,7,47,199.65,0.08,13.06,15.28,2607.96,0.07,144.89,9,0,1,11,8,28,19,0.3214
10,3,26,106.27,0.13,7.86,13.53,835.01,0.04,46.39,7,0,1,10,7,15,11,0.3697
28,1,64,293.44,0.08,13,22.57,3814.69,0.1,211.93,20,0,6,13,11,42,22,0.2421
88,13,260,1643.7,0.04,23.94,68.65,39355.79,0.55,2186.43,59,4,8,27,53,166,94,0.1888
48,12,210,1191.21,0.02,40.89,29.13,48707.23,0.4,2705.96,36,5,4,24,27,118,92,0.2597
4,1,10,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2,0,0,5,4,6,4,0.5901
12,2,20,76.15,0.16,6.3,12.09,479.73,0.03,26.65,8,0,2,9,5,13,7,0.3686
13,5,22,81.41,0.24,4.08,19.94,332.42,0.03,18.47,8,0,3,7,6,15,7,0.3625
21,5,57,271.03,0.08,12.92,20.97,3502.52,0.09,194.58,18,1,0,14,13,33,24,0.3092
74,7,252,1383.95,0.02,52,26.61,71965.24,0.46,3998.07,54,3,15,24,21,161,91,0.1954
4,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
10,2,16,55.35,0.21,4.8,11.53,265.68,0.02,14.76,7,0,1,6,5,8,8,0.3909
9,1,51,194.18,0.11,9,21.58,1747.58,0.06,97.09,6,0,1,7,7,33,18,0.3687
24,9,95,470.65,0.03,35.7,13.18,16802.16,0.16,933.45,20,0,2,21,10,61,34,0.2169
57,7,189,1025.56,0.03,31.98,32.07,32794.73,0.34,1821.93,36,10,9,21,22,122,67,0.3184
20,5,56,263.22,0.07,14,18.8,3685.14,0.09,204.73,11,2,5,14,12,32,24,0.3811
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
12,2,18,64.53,0.18,5.6,11.52,361.36,0.02,20.08,7,0,3,7,5,10,8,0.3862
24,2,37,167.37,0.23,4.27,39.23,714.12,0.06,39.67,12,3,5,8,15,21,16,0.4089
7,2,14,46.51,0.22,4.5,10.33,209.28,0.02,11.63,5,0,0,6,4,8,6,0.4281
18,6,90,450,0.04,27.77,16.2,12496.15,0.15,694.23,15,0,1,19,13,52,38,0.2496
33,5,54,253.82,0.09,11.5,22.07,2918.97,0.08,162.17,21,4,5,13,13,32,23,0.3542
66,7,521,2877.78,0.02,44.12,65.22,126970.96,0.96,7053.94,59,0,5,13,33,297,224,0.0621
6,1,10,33.22,0.29,3.5,9.49,116.27,0.01,6.46,3,0,1,7,3,7,3,0.488
24,3,54,250.77,0.11,9.04,27.75,2265.87,0.08,125.88,16,1,4,11,14,31,23,0.3255
27,9,139,682.06,0.04,22.67,30.09,15459.98,0.23,858.89,24,0,1,12,18,71,68,0.1884
12,1,24,96,0.2,5,19.2,480,0.03,26.67,8,0,2,8,8,14,10,0.3629
4,1,9,28.53,0.33,3,9.51,85.59,0.01,4.75,2,0,0,6,3,6,3,0.5743
21,2,64,236.83,0.07,14.58,16.23,3453.74,0.08,191.87,16,0,3,7,6,39,25,0.2684
5,2,9,28.53,0.4,2.5,11.41,71.32,0.01,3.96,3,0,0,5,4,5,4,0.5774
62,10,128,666.81,0.07,15.17,43.97,10113.29,0.22,561.85,50,1,9,13,24,72,56,0.1784
8,1,31,131.69,0.4,2.5,52.67,329.21,0.04,18.29,4,0,0,5,14,17,14,0.4189
18,3,39,171.3,0.09,11.33,15.11,1941.4,0.06,107.86,8,3,4,12,9,22,17,0.4453
61,7,77,391.73,0.14,6.93,56.49,2716.59,0.13,150.92,31,16,12,11,23,48,29,0.3992
17,2,56,249.73,0.11,8.75,28.54,2185.12,0.08,121.4,12,1,2,10,12,35,21,0.3542
31,6,102,539.11,0.04,22.63,23.82,12200.93,0.18,677.83,24,0,5,20,19,59,43,0.1996
46,6,127,701.49,0.05,19.74,35.54,13847.46,0.23,769.3,33,2,8,21,25,80,47,0.2459
12,2,25,100,0.17,5.79,17.28,578.57,0.03,32.14,9,0,1,9,7,16,9,0.3491
14,7,45,175.81,0.05,19.25,9.13,3384.34,0.06,188.02,12,0,0,11,4,31,14,0.298
77,2,243,1494.39,0.07,13.82,108.15,20649.73,0.5,1147.21,45,14,14,16,55,148,95,0.3191
4,1,6,15.51,0.5,2,7.75,31.02,0.01,1.72,2,0,0,4,2,4,2,0.9666
27,3,65,298.02,0.16,6.18,48.25,1840.73,0.1,102.26,19,2,4,7,17,35,30,0.3282
10,2,29,120.93,0.14,7,17.28,846.49,0.04,47.03,7,0,1,9,9,15,14,0.3671
4,1,10,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2,0,0,5,4,6,4,0.5901
4,1,12,39.86,0.4,2.5,15.95,99.66,0.01,5.54,2,0,0,5,5,7,5,0.5219
17,1,58,258.64,0.16,6.23,41.51,1611.57,0.09,89.53,10,0,4,9,13,40,18,0.3116
15,2,55,255.41,0.07,13.36,19.11,3413.23,0.09,189.62,11,1,0,14,11,34,21,0.3617
5,2,15,55.51,0.29,3.5,15.86,194.27,0.02,10.79,3,0,0,7,6,9,6,0.4711
175,15,469,3052.16,0.02,42.1,72.5,128485.91,1.02,7138.11,105,30,28,29,62,289,180,0.26
99,6,270,1671.25,0.03,33.61,49.72,56176.88,0.56,3120.94,65,13,18,29,44,168,102,0.2695
4,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
9,3,21,85.84,0.16,6.42,13.38,550.79,0.03,30.6,6,0,1,11,6,14,7,0.3908
8,2,18,66.61,0.33,3,22.2,199.82,0.02,11.1,6,0,0,6,7,11,7,0.3999
36,3,82,410,0.06,16,25.63,6560,0.14,364.44,23,0,11,16,16,50,32,0.216
39,4,97,526.35,0.07,14.76,35.66,7768.89,0.18,431.61,20,6,7,18,25,56,41,0.3624
37,2,137,713.7,0.07,14.61,48.85,10426.15,0.24,579.23,29,0,6,14,23,89,48,0.1785
118,6,136,775.26,0.04,25.71,30.15,19935.25,0.26,1107.51,35,21,46,24,28,76,60,0.3906
42,4,77,366.13,0.06,16.69,21.93,6111.49,0.12,339.53,29,3,4,14,13,46,31,0.2988
14,3,46,218.72,0.09,11.31,19.34,2473.27,0.07,137.4,9,0,1,14,13,25,21,0.324
1,1,4,8,0.67,1.5,5.33,12,0,0.67,0,0,0,3,1,3,1,1
7,2,24,100.08,0.23,4.4,22.75,440.34,0.03,24.46,4,0,1,8,10,13,11,0.4259
23,4,43,204.46,0.13,7.89,25.9,1613.77,0.07,89.65,18,1,2,13,14,26,17,0.3192
62,19,305,1738.63,0.03,34.55,50.32,60067,0.58,3337.06,52,0,8,21,31,203,102,0.0732
7,1,21,75.28,0.22,4.5,16.73,338.78,0.03,18.82,5,0,0,6,6,12,9,0.4148
51,4,181,942.91,0.05,21.91,43.03,20662.05,0.31,1147.89,35,0,10,14,23,109,72,0.1495
59,12,156,806.51,0.07,14.96,53.91,12065.36,0.27,670.3,53,0,2,11,25,88,68,0.1042
12,2,57,264.7,0.09,11.38,23.27,3010.96,0.09,167.28,9,0,1,13,12,36,21,0.3195
266,9,1279,9091.8,0.02,58.9,154.36,535507.18,3.03,29750.4,251,0,13,23,115,691,589,0
115,8,419,2287.5,0.01,69.54,32.89,159072.88,0.76,8837.38,85,14,14,19,25,236,183,0.2378
4,1,9,27,0.5,2,13.5,54,0.01,3,2,0,0,4,4,5,4,0.8808
4,1,10,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2,0,0,5,4,6,4,0.5901
281,7,782,5675.28,0.05,20.98,270.53,119057.45,1.89,6614.3,153,75,34,15,138,396,386,0.2363
4,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
5,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
22,1,61,290.05,0.17,6,48.34,1740.29,0.1,96.68,14,0,5,9,18,37,24,0.2762
18,2,44,171.9,0.1,10.29,16.71,1768.15,0.06,98.23,11,2,3,8,7,26,18,0.3981
19,3,40,180.94,0.08,13.13,13.79,2374.87,0.06,131.94,14,0,3,15,8,26,14,0.2879
41,3,107,514.39,0.04,22.67,22.69,11659.44,0.17,647.75,27,0,11,16,12,73,34,0.1939
96,7,386,2155.8,0.02,52.89,40.76,114017.63,0.72,6334.31,65,12,14,21,27,250,136,0.254
52,6,253,1500.48,0.05,21.06,71.26,31595.26,0.5,1755.29,45,0,7,17,44,144,109,0.1089
36,6,103,548.16,0.05,19.9,27.54,10910.97,0.18,606.16,23,5,5,19,21,59,44,0.3338
15,4,33,137.61,0.08,11.79,11.68,1621.8,0.05,90.1,11,0,2,11,7,18,15,0.3177
23,2,78,390,0.08,13.24,29.47,5161.76,0.13,286.76,15,2,4,15,17,48,30,0.3438
8,1,9,25.27,0.38,2.67,9.47,67.38,0.01,3.74,5,0,1,4,3,5,4,0.7558
75,12,335,1986.8,0.02,45.09,44.06,89588.86,0.66,4977.16,61,1,11,23,38,186,149,0.1236
42,6,158,797.01,0.03,36.66,21.74,29215.55,0.27,1623.09,27,5,5,17,16,89,69,0.3072
89,14,241,1386.93,0.02,53.31,26.02,73933.93,0.46,4107.43,56,12,8,28,26,142,99,0.2721
30,3,80,384.59,0.08,12.38,31.08,4759.28,0.13,264.4,19,4,5,12,16,47,33,0.3538
12,2,47,220.92,0.12,8.14,27.13,1798.93,0.07,99.94,8,0,2,12,14,28,19,0.3362
53,13,181,1016.26,0.05,20.58,49.37,20918.07,0.34,1162.11,44,0,5,19,30,116,65,0.1135
37,5,147,765.79,0.05,21.68,35.33,16598.49,0.26,922.14,30,0,5,17,20,96,51,0.1691
27,5,62,276.48,0.11,9.35,29.58,2584.07,0.09,143.56,19,0,2,9,13,35,27,0.2434
17,4,38,171.9,0.06,17.14,10.03,2946.78,0.06,163.71,13,0,2,16,7,23,15,0.2951
13,3,44,209.22,0.13,8,26.15,1673.72,0.07,92.98,10,0,1,12,15,24,20,0.3153
5,1,15,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,5,6,8,7,0.4745
11,1,40,163.5,0.11,9.29,17.61,1518.2,0.05,84.34,6,0,2,10,7,27,13,0.3739
4,2,17,58.81,0.16,6.13,9.6,360.21,0.02,20.01,2,0,0,7,4,10,7,0.5077
26,5,83,390.14,0.07,14.3,27.28,5578.95,0.13,309.94,23,0,1,11,15,44,39,0.2148
27,2,128,615.34,0.04,24.23,25.4,14910.2,0.21,828.34,19,1,5,15,13,86,42,0.2832
23,13,101,443.62,0.07,15,29.57,6654.36,0.15,369.69,20,0,0,10,11,68,33,0.2134
25,3,108,507.65,0.05,20.42,24.86,10364.47,0.17,575.8,22,0,1,14,12,73,35,0.2137
27,11,131,671.94,0.03,36,18.66,24189.7,0.22,1343.87,23,0,2,21,14,83,48,0.1902
49,5,105,546.99,0.06,16,34.19,8751.88,0.18,486.22,31,5,7,16,21,63,42,0.3069
26,3,68,303.24,0.04,22.75,13.33,6898.74,0.1,383.26,21,2,1,14,8,42,26,0.3182
4,1,13,46.6,0.22,4.5,10.36,209.72,0.02,11.65,2,0,0,9,3,10,3,0.5162
68,5,168,861.72,0.03,31.64,27.24,27263.85,0.29,1514.66,46,5,13,17,18,101,67,0.2557
8,1,37,157.17,0.2,4.96,31.7,779.32,0.05,43.3,6,0,0,7,12,20,17,0.3751
4,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,5,2,5,2,0.905
4,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
4,1,12,39.86,0.4,2.5,15.95,99.66,0.01,5.54,2,0,0,5,5,7,5,0.5219
4,1,11,34.87,0.4,2.5,13.95,87.17,0.01,4.84,2,0,0,5,4,7,4,0.5635
7,1,15,51.89,0.28,3.6,14.41,186.81,0.02,10.38,4,0,1,6,5,9,6,0.4472
18,1,41,185.47,0.67,1.5,123.64,278.2,0.06,15.46,11,0,1,3,20,21,20,0.3127
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
23,3,107,525.04,0.06,15.5,33.87,8138.08,0.18,452.12,17,0,3,15,15,76,31,0.2371
66,6,177,1018.62,0.03,29.2,34.88,29743.56,0.34,1652.42,50,4,8,24,30,104,73,0.2284
34,8,119,653.53,0.05,21.44,30.49,14010.06,0.22,778.34,31,0,1,21,24,70,49,0.1668
8,1,15,53.77,0.24,4.2,12.8,225.85,0.02,12.55,4,0,2,7,5,9,6,0.4461
30,5,109,602.07,0.06,16.14,37.27,9725.72,0.2,540.32,25,0,3,20,26,67,42,0.1937
14,2,39,178.81,0.12,8.27,21.61,1479.28,0.06,82.18,9,0,2,13,11,25,14,0.3314
27,4,43,188.87,0.09,11,17.17,2077.57,0.06,115.42,15,5,5,11,10,23,20,0.4094
12,1,29,107.31,0.32,3.11,34.49,333.86,0.04,18.55,7,0,3,4,9,15,14,0.3721
7,2,14,50.19,0.33,3,16.73,150.57,0.02,8.36,5,0,0,6,6,8,6,0.4258
6,1,4,8,0.67,1.5,5.33,12,0,0.67,2,1,1,3,1,3,1,1
15,6,194,1032.45,0.03,30.44,33.92,31429.12,0.34,1746.06,10,0,2,23,17,149,45,0.2628
7,3,28,106.61,0.12,8.1,13.16,863.51,0.04,47.97,4,0,1,9,5,19,9,0.4226
23,4,120,620.39,0.05,21.2,29.26,13152.29,0.21,730.68,18,0,1,16,20,67,53,0.2253
28,6,95,487.28,0.07,14.63,33.32,7126.5,0.16,395.92,28,0,0,15,20,56,39,0.188
10,1,14,50.19,0.25,4,12.55,200.76,0.02,11.15,6,0,1,8,4,10,4,0.4098
19,2,48,196.2,0.1,10.13,19.38,1986.51,0.07,110.36,14,0,3,9,8,30,18,0.2868
36,8,87,463.01,0.08,12.93,35.8,5988.9,0.15,332.72,31,0,3,17,23,52,35,0.1773
9,1,24,100.08,0.1,10.4,9.62,1040.81,0.03,57.82,6,0,1,13,5,16,8,0.3888
9,1,15,49.83,0.21,4.67,10.68,232.53,0.02,12.92,5,0,0,7,3,11,4,0.4273
31,6,84,412.18,0.1,10.13,40.68,4176.02,0.14,232,24,1,2,11,19,49,35,0.2679
6,1,8,22.46,0.5,2,11.23,44.92,0.01,2.5,3,0,1,4,3,5,3,0.8752
143,16,492,3045.39,0.03,34.33,88.72,104538.99,1.02,5807.72,102,12,18,21,52,322,170,0.1887
19,4,43,185.84,0.13,8,23.23,1486.74,0.06,82.6,16,0,0,10,10,27,16,0.2731
6,1,43,179.31,0.26,3.85,46.62,689.64,0.06,38.31,4,0,0,5,13,23,20,0.4095
39,5,106,571.59,0.04,22.39,25.52,12800.51,0.19,711.14,31,2,3,23,19,69,37,0.2594
66,8,204,1184.7,0.04,24.14,49.09,28592.9,0.39,1588.49,49,2,13,19,37,112,94,0.1898
8,1,19,65.73,0.3,3.33,19.72,219.1,0.02,12.17,5,0,1,5,6,11,8,0.4189
23,3,98,480.88,0.11,9.43,51,4533.97,0.16,251.89,20,0,1,9,21,54,44,0.2244
40,1,120,647.08,0.09,10.76,60.15,6961.67,0.22,386.76,23,5,9,13,29,72,48,0.3355
34,7,135,718.46,0.04,28.18,25.49,20249.24,0.24,1124.96,24,1,7,21,19,84,51,0.2497
55,3,215,1237.3,0.06,18.15,68.18,22455.34,0.41,1247.52,40,1,11,17,37,136,79,0.1901
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
7,2,15,53.77,0.2,5,10.75,268.87,0.02,14.94,5,0,0,8,4,10,5,0.4237
19,3,56,272.05,0.08,12.13,22.42,3300.84,0.09,183.38,13,0,4,14,15,30,26,0.2825
31,4,123,615,0.03,29.57,20.8,18186.43,0.21,1010.36,25,0,4,18,14,77,46,0.1944
6,1,23,89.86,0.36,2.75,32.68,247.11,0.03,13.73,4,0,0,5,10,12,11,0.4305
24,6,55,241.58,0.05,19.5,12.39,4710.76,0.08,261.7,12,4,3,13,8,31,24,0.4074
13,1,29,103.96,0.29,3.5,29.7,363.87,0.03,20.22,7,0,0,4,8,15,14,0.3731
109,11,284,1839.11,0.04,24.02,76.55,44181.7,0.61,2454.54,76,19,11,25,64,161,123,0.276
23,5,81,408.6,0.06,15.42,26.5,6299.19,0.14,349.95,20,0,1,15,18,44,37,0.2266
10,2,23,94.01,0.16,6.42,14.65,603.24,0.03,33.51,8,0,0,11,6,16,7,0.3621
36,4,140,734.71,0.04,23.85,30.81,17522.83,0.24,973.49,13,10,6,18,20,87,53,0.4291
15,6,195,1030.65,0.03,32.34,31.87,33335.19,0.34,1851.96,10,0,2,23,16,150,45,0.2628
112,54,632,3972.37,0.02,40.25,98.68,159904.89,1.32,8883.61,106,1,3,19,59,382,250,0
10,2,30,129.66,0.1,9.75,13.3,1264.16,0.04,70.23,7,0,1,12,8,17,13,0.365
10,1,24,93.77,0.27,3.67,25.57,343.81,0.03,19.1,6,1,1,6,9,13,11,0.451
23,4,82,423.93,0.08,12.4,34.19,5256.78,0.14,292.04,16,0,1,16,20,51,31,0.248
63,6,194,1121.58,0.05,20.85,53.8,23381.91,0.37,1298.99,51,2,7,19,36,115,79,0.1904
41,7,123,640.76,0.04,27.06,23.68,17338.29,0.21,963.24,36,0,3,20,17,77,46,0.1546
19,3,40,180.94,0.08,13.13,13.79,2374.87,0.06,131.94,14,0,3,15,8,26,14,0.2879
40,4,154,902.13,0.11,9.52,94.74,8589.84,0.3,477.21,31,0,7,12,46,81,73,0.1624
176,12,630,4005.26,0.01,73.72,54.33,295281.24,1.34,16404.5,127,23,24,35,47,432,198,0.2177
16,2,42,199.71,0.19,5.29,37.72,1057.26,0.07,58.74,12,0,1,10,17,24,18,0.3008
15,1,65,298.02,0.09,11,27.09,3278.25,0.1,182.12,9,0,4,12,12,43,22,0.3172
10,2,26,114.2,0.14,7.31,15.62,835.09,0.04,46.39,7,0,1,13,8,17,9,0.3689
41,9,94,474.17,0.05,18.35,25.84,8702.47,0.16,483.47,33,0,5,16,17,55,39,0.1693
11,2,13,39,0.4,2.5,15.6,97.5,0.01,5.42,9,0,0,4,4,8,5,0.3852
5,1,10,31.7,0.19,5.25,6.04,166.42,0.01,9.25,3,0,0,7,2,7,3,0.4895
6,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,3,0,1,7,4,9,5,0.4766
40,5,80,407,0.12,8.61,47.28,3503.71,0.14,194.65,28,2,6,11,23,44,36,0.2793
23,16,184,985.79,0.02,44,22.4,43374.74,0.33,2409.71,17,0,4,22,19,108,76,0.2004
16,5,56,224,0.06,17.5,12.8,3920,0.07,217.78,11,1,1,10,6,35,21,0.3617
